"","Bx","By","Bz"
"385",2.91,-2.76,-1.14
"386",2.8,-2.86,-1.11
"387",3.29,-2.66,-0.77
"388",3.01,-3.02,-0.73
"389",3.04,-2.88,-0.86
"390",2.95,-3.04,-0.65
"391",3.35,-2.59,-0.65
"392",3.76,-1.85,-0.93
"393",3.89,-1.8,-1
"394",3.73,-2.21,-0.77
"395",3.43,-2.63,-0.48
"396",3.27,-2.71,-0.57
"397",3.4,-2.54,-0.41
"398",3.21,-2.43,-0.11
"399",3.48,-2.28,-0.63
"400",3.32,-2.49,-0.81
"401",3.36,-2.42,-0.87
"402",3.27,-2.59,-0.93
"403",3.27,-2.67,-0.66
"404",2.98,-2.92,-0.85
"405",3.48,-2.43,-0.6
"406",3.21,-2.73,-0.68
"407",3.36,-2.62,-0.6
"408",3.41,-2.45,-0.63
"409",2.84,-1.92,-2.38
"410",2.74,-1.84,-2.47
"411",2.56,-1.73,-2.15
"412",2.65,-2.3,-2.12
"413",2.98,-1.9,-1.63
"414",2.55,-2.04,-2.61
"415",2.73,-2.18,-2.16
"416",2.73,-2.17,-1.55
"417",2.79,-2.52,-2.04
"418",2.72,-2.41,-1.96
"419",3.26,-2.27,-1.24
"420",3.15,-2.78,-1.01
"421",2.9,-2.65,-1.74
"422",2.62,-2.53,-2.32
"423",2.75,-3.06,-1.78
"424",2.91,-3.3,-1.15
"425",2.83,-3.05,-1.57
"426",2.09,-3.25,-2.49
"427",2.76,-2.64,-1.89
"428",2.47,-2.68,-2.08
"429",2.82,-3.12,-0.95
"430",2.88,-2.99,-0.77
"431",2.74,-3.01,-1.03
"432",1.86,-2.63,-1.75
"433",2.09,-2.81,-1.95
"434",1.55,-2.29,-2.86
"435",0.71,-1.42,-3.11
"436",0.5,-0.88,-3.29
"437",1.91,-2.57,-2.62
"438",1.69,-2.97,-3.09
"439",2.08,-2.53,-3.11
"440",0.88,-1.87,-3.31
"441",0.19,-1.59,-3.32
"442",0.72,-1.87,-3.26
"443",0.62,-1.06,-3.33
"444",0.8,-1.73,-3.34
"445",0.22,-1.06,-3.54
"446",0.41,-1.27,-3.49
"447",1.11,-1.42,-3.54
"448",0.77,-1.77,-3.67
"449",0.08,-1.44,-3.49
"450",0.7,-1.82,-3.52
"451",1.6,-2.24,-3.16
"452",0.17,-1.24,-3.51
"453",0.16,-1.44,-3.52
"454",0.18,-1.3,-3.52
"455",0.46,-1.86,-3.69
"456",0.74,-1.48,-3.46
"457",0.45,-2.12,-3.5
"458",0.49,-2.23,-3.55
"459",1.13,-3.11,-3.44
"460",1.6,-2.71,-3.27
"461",1.01,-2.98,-3.37
"462",0.29,-1.81,-3.53
"463",1.29,-3.09,-3.19
"464",1.24,-3.11,-3.18
"465",0.84,-2.24,-3.31
"466",0.6,-2.24,-3.4
"467",0.36,-1.59,-3.4
"468",0.67,-2.71,-2.81
"469",-0.03,-1.32,-3.22
"470",0.44,-1.52,-3.14
"471",0.35,-1.68,-3.26
"472",0.35,-1.85,-3.01
"473",0.44,-2.15,-3.12
"474",0.59,-2.16,-3.13
"475",0.32,-1.68,-3.45
"476",0.67,-1.72,-3.2
"477",0.37,-1.36,-3.04
"478",1,-1.91,-3.08
"479",0.69,-0.96,-2.76
"480",0.93,-1.21,-2.9
"481",0.86,-1.65,-2.76
"482",0.65,-1.93,-3.5
"483",0.44,-1.54,-3.5
"484",0.51,-2,-3.13
"485",0.24,-2.66,-2.89
"486",0.89,-2.43,-3.2
"487",1.2,-1.88,-3.46
"488",1.01,-1.8,-3.36
"489",0.89,-1.58,-3.52
"490",0.63,-2.34,-3.26
"491",0.37,-2.07,-3.19
"492",0.66,-1.88,-3.29
"493",0.74,-1.73,-3.27
"494",0.49,-1.49,-3.47
"495",0.37,-1.67,-2.99
"496",0.42,-2.08,-3.16
"497",0.94,-1.96,-3.35
"498",0.58,-1.8,-3.32
"499",0.81,-2.08,-3.2
"500",0.73,-1.73,-3.25
"501",0.95,-2.14,-3.22
"502",0.91,-2.24,-3.17
"503",0.5,-2.39,-3.1
"504",0.93,-2.03,-3.09
"505",0.72,-2.02,-3.18
"506",0.79,-1.7,-3.23
"507",0.48,-2.07,-3.12
"508",0.65,-1.91,-3.28
"509",0.27,-1.18,-3.53
"510",0.51,-1.63,-3.32
"511",0.54,-2.69,-2.8
"512",0.68,-2.31,-3
"513",0.98,-2.4,-2.8
"514",0.42,-1.56,-3.32
"515",0.45,-2.07,-2.88
"516",0.29,-1.96,-3.01
"517",0.46,-1.83,-3.07
"518",0.38,-1.88,-3.15
"519",0.54,-1.99,-3.27
"520",0.75,-2.27,-3.16
"521",0.81,-2.13,-3.16
"522",0.99,-2.72,-2.87
"523",1.23,-2.43,-3.06
"524",0.58,-2.51,-2.81
"525",0.42,-1.94,-3.14
"526",0.26,-2,-2.91
"527",-0.25,-2.09,-2.92
"528",-0.5,-1.79,-2.98
"529",1.39,-1.69,-3.4
"530",0.2,-1.79,-3.32
"531",-0.47,-1.85,-2.76
"532",-0.23,-1.38,-3.09
"533",0.18,-2.25,-3.28
"534",0.29,-1.32,-3.2
"535",0.58,-1.85,-3.44
"536",0.02,-1.66,-3.03
"537",0.05,-1.68,-3.23
"538",-0.19,-1.86,-2.98
"539",-0.24,-1.91,-3
"540",-0.25,-1.7,-2.73
"541",-0.13,-1.98,-3.03
"542",0.2,-2.14,-3.08
"543",-0.41,-1.65,-2.87
"544",-0.41,-1.91,-2.98
"545",-0.08,-2.07,-3.12
"546",-0.61,-1.78,-2.82
"547",-0.23,-1.98,-3.04
"548",0.23,-2.09,-3
"549",-0.23,-1.89,-2.94
"550",0.28,-1.87,-2.99
"551",0.453574886339658,-1.87747459152897,-2.89596839644458
"552",0.1,-2.08,-2.8
"553",-0.28,-1.91,-2.89
"554",0.31,-2.31,-2.71
"555",-0.29,-1.71,-3.09
"556",0.0333220959827781,-1.95816764075222,-3.02357007153193
"557",-0.07,-1.79,-3.04
"558",2.14556759949331,-2.57832365924698,-1.77936094077035
"559",-0.03,-1.71,-3.09
"560",-0.25,-1.68,-2.92
"561",0.45,-1.87,-3.09
"562",-0.41,-1.71,-2.89
"563",0.39,-2.15,-2.99
"564",-0.03,-1.43,-3.12
"565",0.24,-1.98,-3.12
"566",-0.38,-1.78,-2.73
"567",0.22,-1.89,-3.04
"568",-0.26,-1.71,-2.79
"569",0.03,-1.93,-3.14
"570",-0.13,-1.55,-2.86
"571",0.73,-2.14,-2.53
"572",-0.02,-1.56,-2.77
"573",1.54,-2.31,-1.83
"574",0.16,-1.76,-2.81
"575",-0.02,-1.97,-3.04
"576",0.17,-1.68,-2.97
"577",-0.29,-1.85,-3.22
"578",0.06,-1.73,-3.04
"579",0.17,-0.92,-3.35
"580",0.05,-1.73,-2.98
"581",-0.86,-1.31,-3.17
"582",0.06,-1.79,-2.98
"583",0.717911138455089,-1.83292419870436,-3.16862257389797
"584",-0.21,-1.69,-2.98
"585",-0.02,-1.69,-2.93
"586",-0.04,-1.73,-2.96
